name,Unnamed: 0,apmw1,apmw2,apmw3,eapmw1,eapmw2,eapmw3,emw1,emw2,emw3,emw4,mw1,mw2,mw3,mw4,peak_snrw1,peak_snrw2,w12,w12_err,w23,w23_err,groupcz,deextrestnuvmag,enuvmag,logmstar,logmgas,logmbary,sfr_nuv,sfr_nuv_err,sfr_wise,sfr_wise_err,sfr_nuv_wise,sfr_nuv_wise_err,sfr_nuv_provisional,sfr_nuv_provisional_err,sfr_nuv_wise_provisional,sfr_nuv_wise_provisional_err
rs0001,0,15.298978,15.188939999999999,12.381309,0.001070023,0.002441406,0.002441406,0.3182346,0.066815086,0.8106859000000001,0.04590927400000001,14.14105,13.56575,10.126724000000001,7.61026,20.601366,8.93153,0.11003779999999999,0.002665598,2.8076315,0.04349604,6426.89,-16.619545,0.0602,8.63,9.1800585,9.287879,0.1838163927284843,0.010191933783107544,0.16188931897399295,0.006845328607335265,0.3457057117024772,0.0122773791169635,-999.0,-999.0,-999.0,-999.0
rs0002,1,12.794061,12.720238,9.907732000000001,0.000857353,0.002159119,0.002159119,0.08606842,0.10774679,0.34673014,1.2793887,12.407499000000001,12.2523,8.864585,6.6452350000000004,87.84059,41.213184000000005,0.073822975,0.002484687,2.8125057,0.034749415,6023.14,-18.126259,0.0379,9.39,9.779232,9.927866,0.7363273125180732,0.02570312721077732,0.0,0.0,0.7363273125180732,0.02570312721077732,-999.0,-999.0,-999.0,-999.0
rs0003,2,13.579220000000001,13.454381,10.061939,0.0013942720000000002,0.003272057,0.003272057,0.031982552000000004,0.114382155,0.24226119,1.214854,13.42035,13.32265,9.751255,6.285044999999999,37.437172,16.348223,0.12483883,0.003556733,3.3924417,0.034994844,6922.12,-18.337307,0.045,9.01,9.50937,9.628853,0.8943130109984293,0.03706618433574927,0.0,0.0,0.8943130109984293,0.03706618433574927,-999.0,-999.0,-999.0,-999.0
rs0004,3,16.207705999999998,16.420873999999998,,0.002502441,0.009021759,0.009021759,0.30012300000000003,0.31295487,0.0,0.0,15.5923,15.40215,,,9.448972,2.9225632999999998,-0.21316719,0.00936239,-999.0,0.033389524,5195.5,-14.637372,0.2055,8.51,8.142349,8.665,0.0296152185206262,0.0056053479815637115,-0.0,0.0,0.0296152185206262,0.0056053479815637115,-999.0,-999.0,-999.0,-999.0
rs1313,4,16.041264,16.20585,15.152267000000002,0.00153923,0.0042171479999999996,0.0042171479999999996,0.5296656999999999,1.1186724,0.0,0.0,14.3001995,13.874599,13.8675,,17.112652,5.5885735,-0.16458702,0.004489272,1.0535831,0.45833048,7191.2,-16.508892,0.2718,8.33,8.82429,8.945,0.16600561461786614,0.04155733943820748,0.0033139106359389354,0.0,0.1693195252538051,0.04155733943820748,-999.0,-999.0,-999.0,-999.0
rs0005,5,12.657136999999999,12.57444,9.385057000000002,0.000650406,0.001262665,0.001262665,0.03366024,0.022701891000000002,0.069410235,0.42403957,12.38625,12.2984,8.8414955,6.529875,66.65115,35.69253,0.082696915,0.002484687,3.1893826,0.033389524,7065.64,-17.306332,0.1021,9.89,9.7020855,10.107159,0.34601933504192,0.03253882435628575,0.3276746535114007,0.0209479748433337,0.6736939885533206,0.038698743397249435,-999.0,-999.0,-999.0,-999.0
rs1314,6,14.906398999999999,14.941397,11.71677,0.000923157,0.0018806460000000001,0.0018806460000000001,0.17798392,0.13198099,0.19592479,0.128184,13.9843,13.8372,9.758415,7.666930000000001,27.753132,12.828104,-0.03499794,0.002484687,3.2246265,0.033389524,7065.64,-17.952354,0.0603,8.950001,9.366504,9.507408,0.6273493406241061,0.034841950910934075,-999.0,-999.0,0.7906195412921027,0.038672899690728374,-999.0,-999.0,-999.0,-999.0
rs0006,7,14.84575,14.66354,13.030265,0.001088142,0.002370834,0.002370834,0.03143228,0.19900036,0.03175628,0.027746784,13.2482,12.71,11.2636,9.422871,28.579794,13.913834,0.18220997,0.002608622,1.633275,0.13605754,4712.6,-15.404128,0.0324,8.13,8.428193,8.605232,0.06000925753040074,0.0017907660964112746,-999.0,-999.0,0.07603691228028865,0.0018174658725069875,-999.0,-999.0,-999.0,-999.0
rs0007,8,15.155551999999998,15.1069,12.999107,0.0018892289999999999,0.00865078,0.00865078,0.30571190000000004,1.0283588,0.76642346,0.32619499999999996,14.2324,13.3175,11.696300500000001,12.3912,14.583588,5.4475265,0.048651695,0.00885467,2.1077929,0.21972431,7038.11,-16.841614,0.1438,8.85,8.951968,9.205,0.22553360585296545,0.02987071545520924,0.0,0.0,0.22553360585296545,0.02987071545520924,-999.0,-999.0,-999.0,-999.0
rs0009,9,14.991678,15.005365,13.345510500000001,0.004789352,0.013119698,0.013119698,0.08307675,1.1282573,0.127755,0.0,14.86275,13.4291,13.2481,,10.961332,3.6370362999999997,-0.013687133999999998,0.013966545,1.6598548999999998,1.2771441000000001,4486.55,-16.017101,0.052,8.41,9.007682,9.105471,0.10553743098691792,0.005054586667172664,0.002282038802460379,0.0002685199829670162,0.1078194697893783,0.005061714073040107,-999.0,-999.0,-999.0,-999.0
