name,Unnamed: 0,apmw1,apmw2,apmw3,eapmw1,eapmw2,eapmw3,emw1,emw2,emw3,emw4,mw1,mw2,mw3,mw4,peak_snrw1,peak_snrw2,w12,w12_err,w23,w23_err,groupcz,deextrestnuvmag,enuvmag,logmstar,logmgas,logmbary,sfr_nuv,sfr_nuv_err,sfr_wise,sfr_wise_err,sfr_nuv_wise,sfr_nuv_wise_err,sfr_nuv_provisional,sfr_nuv_provisional_err,sfr_nuv_wise_provisional,sfr_nuv_wise_provisional_err
rs0001,0,15.298978,15.188939999999999,12.381309,0.0010700225999999999,0.0024414061999999998,0.0024414061999999998,0.000958443,0.002497675,0.0126362,0.012918899999999999,0.0,0.0,11.2057,7.84535,20.601366,8.93153,0.11003779999999999,0.002665598,2.8076315,0.04349604,6426.89,-16.619545,0.0602,8.63,9.1800585,9.287879,0.1838163927284843,0.010191933783107544,-999.0,-999.0,0.2643634358828722,0.010222968042210427,-999.0,-999.0,-999.0,-999.0
rs0002,1,12.794061,12.720238,9.907732000000001,0.0008573532000000001,0.0021591187,0.0021591187,0.00105572,0.00289631,0.0045318576000000005,0.0143361,12.4891,12.3599,9.158430000000001,7.924460000000001,87.84059,41.213184000000005,0.073822975,0.0024846867,2.8125057,0.034749415,6023.14,-18.126259,0.0379,9.39,9.779232,9.927866,0.7363273125180732,0.02570312721077732,-999.0,-999.0,0.8784732610994203,0.025715413299656435,-999.0,-999.0,-999.0,-999.0
rs0003,2,13.579220000000001,13.454381,10.061939,0.0013942719,0.0032720566,0.0032720566,0.00222969,0.00747585,0.00880146,0.00978899,13.5055,13.5216,9.93806,7.5018899999999995,37.437172,16.348223,0.12483883,0.0035567328000000002,3.3924417,0.034994844,6922.12,-18.337307,0.045,9.01,9.50937,9.628853,0.8943130109984293,0.03706618433574927,-999.0,-999.0,1.0553435408371137,0.0370808937287782,-999.0,-999.0,-999.0,-999.0
rs0004,3,16.207705999999998,16.420873999999998,,0.0025024414000000004,0.009021759,0.009021759,0.00765228,0.0205965,0.0045318576000000005,0.006877185,16.1049,15.7044,0.0,0.0,9.448972,2.9225632999999998,-0.21316719,0.00936239,-999.0,0.033389524,5195.5,-14.637372,0.2055,8.51,8.142349,8.665,0.0296152185206262,0.0056053479815637115,0.0,0.0,0.0296152185206262,0.0056053479815637115,-999.0,-999.0,-999.0,-999.0
rs1313,4,16.041264,16.20585,15.152267000000002,0.0015392303,0.0042171479999999996,0.0042171479999999996,0.00260735,0.00777912,0.10775799999999999,0.006877185,14.72,14.8944,13.8675,0.0,17.112652,5.5885735,-0.16458702,0.0044892724,1.0535831,0.45833048,7191.2,-16.508892,0.2718,8.33,8.82429,8.945,0.16600561461786614,0.04155733943820748,0.0033139106359389354,0.0003289016068014968,0.1693195252538051,0.041558640948054976,-999.0,-999.0,-999.0,-999.0
rs0005,5,12.657136999999999,12.57444,9.385057000000002,0.0006504058999999999,0.0012626648,0.0012626648,0.000958443,0.002497675,0.0045318576000000005,0.006877185,12.3935,12.3162,8.9064,6.95142,66.65115,35.69253,0.082696915,0.0024846867,3.1893826,0.033389524,7065.64,-17.306332,0.1021,9.89,9.7020855,10.107159,0.34601933504192,0.03253882435628575,-999.0,-999.0,0.6798334827529995,0.03256505074554016,-999.0,-999.0,-999.0,-999.0
rs1314,6,14.906398999999999,14.941397,11.71677,0.00092315674,0.0018806457999999999,0.0018806457999999999,0.000958443,0.00489616,0.00749969,0.006877185,0.0,13.9788,10.104,-999.0,27.753132,12.828104,-0.03499794,0.0024846867,3.2246265,0.033389524,7065.64,-17.952354,0.0603,8.950001,9.366504,9.507408,0.6273493406241061,0.034841950910934075,0.10243327279587981,0.0007075547340946124,0.7297826134199858,0.03484913452270629,-999.0,-999.0,-999.0,-999.0
rs0006,7,14.84575,14.66354,13.030265,0.0010881424,0.0023708344,0.0023708344,0.000958443,0.002497675,0.0133991,0.022147200000000002,0.0,12.909,11.2327,9.3982,28.579794,13.913834,0.18220997,0.0026086222,1.633275,0.13605754,4712.6,-15.404128,0.0324,8.13,8.428193,8.605232,0.06000925753040074,0.0017907660964112746,-999.0,-999.0,0.07645136432706831,0.0018016623708329916,-999.0,-999.0,-999.0,-999.0
rs0007,8,15.155551999999998,15.1069,12.999107,0.0018892288,0.00865078,0.00865078,0.00291824,0.00958347,0.0428925,0.006877185,14.3886,14.3378,12.4538,0.0,14.583588,5.4475265,0.048651695,0.008854669499999999,2.1077929,0.21972431,7038.11,-16.841614,0.1438,8.85,8.951968,9.205,0.22553360585296545,0.02987071545520924,0.01167159210956008,0.00046109152698912737,0.23720519796252554,0.029874274002933316,-999.0,-999.0,-999.0,-999.0
rs0009,9,14.991678,15.005365,13.345510500000001,0.0047893524,0.013119698,0.013119698,0.00919151,0.0194912,0.0045318576000000005,0.006877185,14.992,14.8087,0.0,-999.0,10.961332,3.6370362999999997,-0.013687133999999998,0.013966544499999999,1.6598548999999998,1.2771441000000001,4486.55,-16.017101,0.052,8.41,9.007682,9.105471,0.10553743098691792,0.005054586667172664,0.0,0.0,0.10553743098691792,0.005054586667172664,-999.0,-999.0,-999.0,-999.0
